Code,BX,BY,Width,Height,Page
LIN_61-1,172,284,1202,616,0845
LIN_61-2,224,862,1094,124,0845
LIN_61-3,228,940,1162,216,0845
LIN_61-4,206,1054,1200,332,0845
LIN_61-5,200,1342,1188,330,0845
LIN_61-6,232,1634,1150,422,0845
LIN_61-7,246,2038,1158,332,0845
LIN_61-8,244,2232,1140,276,0845
LIN_61-9,242,2474,1160,330,0845
LIN_61-10,244,2710,1110,292,0845
LIN_62-1,194,3108,1266,412,0845
LIN_62-2,292,3474,1122,302,0845
LIN_63-1,1384,332,1236,504,0845
LIN_63-2,1464,790,1266,446,0845
LIN_63-3,1466,1096,1270,298,0845
LIN_63-4,1462,1346,1194,192,0845
LIN_63-5,1492,1488,1290,436,0845
LIN_63-6,1494,1886,1264,334,0845
LIN_63-7,1498,2178,1202,438,0845
LIN_63-8,1474,2572,1164,198,0845
LIN_63-9,1534,2726,954,116,0845
LIN_63-10,1554,2816,1166,266,0845
LIN_63-11,1558,3046,1188,174,0845
LIN_63-12,1510,3180,1210,428,0845
LIN_63-13,1508,3556,1224,222,0845
LIN_63-14,1518,3712,1210,150,0845
