Code,BX,BY,Width,Height,Page
LIN_28-1,172,254,1192,436,0795
LIN_28-2,222,642,1114,358,0795
LIN_28-3,226,946,1088,376,0795
LIN_28-4,278,1190,1014,216,0795
LIN_28-5,212,1346,1114,368,0795
LIN_28-6,222,1664,1098,166,0795
LIN_28-7,214,1796,1134,376,0795
LIN_28-8,240,2138,1096,190,0795
LIN_28-9,256,2300,1032,116,0795
LIN_28-10,248,2390,1104,106,0795
LIN_28-11,232,2460,1164,348,0795
LIN_28-12,252,2772,1152,202,0795
LIN_28-13,258,2942,1254,426,0795
LIN_28-14,268,3306,1162,332,0795
LIN_28-15,258,3604,1238,242,0795
LIN_28-15,1528,294,1130,334,0795
LIN_28-16,1512,586,1106,322,0795
LIN_28-17,1514,882,1150,440,0795
LIN_28-18,1504,1222,1184,192,0795
LIN_28-19,1510,1386,1168,250,0795
LIN_28-20,1510,1600,1192,442,0795
LIN_28-21,1512,1916,1272,264,0795
LIN_28-22,1540,2140,1076,122,0795
LIN_28-23,1540,2224,1182,278,0795
LIN_28-24,1542,2450,1164,136,0795
LIN_28-25,1546,2552,1162,344,0795
LIN_28-26,1554,2866,1208,244,0795
LIN_28-27,1568,3078,1150,180,0795
LIN_28-28,1566,3146,1152,206,0795
LIN_28-29,1576,3328,1230,328,0795
LIN_28-30,1564,3608,1222,206,0795
