Code,BX,BY,Width,Height,Page
LIN_31-1,156,280,1180,578,0805
LIN_31-2,182,710,1142,438,0805
LIN_31-3,210,1084,1142,678,0805
LIN_31-4,196,1708,1140,308,0805
LIN_31-5,212,1962,1112,344,0805
LIN_31-6,216,2262,1190,210,0805
LIN_31-7,232,2350,1148,442,0805
LIN_31-8,230,2740,1172,280,0805
LIN_31-9,204,2992,1352,548,0805
LIN_31-10,246,3386,1302,412,0805
LIN_31-11,1468,250,1180,588,0805
LIN_31-12,1490,794,1150,286,0805
LIN_31-13,1492,1026,1182,304,0805
LIN_31-14,1490,1192,1186,348,0805
LIN_31-15,1486,1436,1176,404,0805
LIN_31-16,1480,1798,1170,588,0805
LIN_31-17,1486,2396,1178,610,0805
LIN_31-18,1554,2946,1144,520,0805
