Code,BX,BY,Width,Height,Page
LIN_28-31,531,270,1122,224,0799
LIN_28-32,527,438,1120,350,0799
LIN_28-33,527,744,1104,350,0799
LIN_28-34,567,1054,1074,130,0799
LIN_28-35,529,1148,1118,340,0799
LIN_28-36,529,1374,1114,260,0799
LIN_28-37,519,1608,1056,250,0799
LIN_28-38,521,1836,1108,272,0799
LIN_28-39,517,2078,1084,178,0799
LIN_28-40,509,2154,1148,176,0799
LIN_28-41,507,2314,1126,192,0799
LIN_28-42,493,2458,1150,274,0799
LIN_28-43,499,2712,1108,276,0799
LIN_29-1,1761,270,1234,460,0799
LIN_29-2,1823,674,1134,180,0799
LIN_29-3,1835,820,1094,264,0799
LIN_29-4,1821,1048,1128,310,0799
LIN_29-5,1829,1306,1144,262,0799
LIN_29-6,1767,1534,1196,328,0799
LIN_29-7,1759,1816,1150,396,0799
LIN_29-8,1785,2204,1126,542,0799
LIN_29-9,1791,2718,1152,408,0799
LIN_29-10,1769,3082,1182,210,0799
LIN_29-11,1765,3252,1146,270,0799
LIN_29-12,1749,3464,1188,206,0799
LIN_29-13,1769,3628,1178,200,0799
LIN_29-14,1657,3696,1286,252,0799
LIN_29-15,1669,3850,1344,274,0799
