Code,BX,BY,Width,Height,Page
LIN_46-4,556,288,1074,266,0829
LIN_47-1,404,804,1208,540,0829
LIN_47-2,468,1302,1132,364,0829
LIN_47-3,478,1620,1134,360,0829
LIN_47-4,476,1842,1130,288,0829
LIN_47-5,470,2094,1134,350,0829
LIN_47-6,472,2320,1074,282,0829
LIN_47-7,474,2550,1110,310,0829
LIN_47-8,512,2810,1062,396,0829
LIN_47-9,496,3168,1096,206,0829
LIN_47-10,488,3316,1074,292,0829
LIN_48-1,1668,288,1236,522,0829
LIN_48-2,1774,782,1130,334,0829
LIN_48-3,1806,1086,1098,178,0829
LIN_48-4,1766,1230,1194,446,0829
LIN_48-5,1766,1662,1110,390,0829
LIN_48-6,1756,2028,1116,282,0829
LIN_48-7,1746,2256,1124,510,0829
LIN_48-8,1738,2750,1170,260,0829
LIN_48-9,1732,2960,1146,274,0829
LIN_48-10,1734,3176,1214,208,0829
LIN_48-11,1714,3348,1196,412,0829
