Code,BX,BY,Width,Height,Page
LIN_57-14,578,302,1114,374,0839
LIN_57-15,502,612,1196,358,0839
LIN_57-16,514,914,1130,280,0839
LIN_57-17,564,1160,1060,202,0839
LIN_57-18,506,1312,1166,576,0839
LIN_57-19,506,1840,1114,342,0839
LIN_57-20,534,2152,1140,134,0839
LIN_57-21,490,2234,1122,270,0839
LIN_57-22,496,2472,1150,414,0839
LIN_57-23,476,2840,1178,280,0839
LIN_57-24,466,3066,1168,440,0839
LIN_57-25,460,3402,1180,262,0839
LIN_57-26,452,3518,1222,334,0839
LIN_57-27,1836,318,1144,278,0839
LIN_57-28,1834,576,1096,378,0839
LIN_57-29,1812,934,1158,360,0839
LIN_57-30,1814,1264,1166,346,0839
LIN_57-31,1796,1580,1142,178,0839
LIN_57-32,1814,1716,1146,190,0839
LIN_57-33,1802,1868,1176,346,0839
LIN_57-34,1810,2110,1120,228,0839
LIN_57-35,1790,2302,1158,222,0839
LIN_57-36,1788,2474,1116,190,0839
LIN_57-37,1778,2638,1124,340,0839
LIN_57-38,1780,2928,1202,320,0839
LIN_57-39,1778,3216,1208,432,0839
LIN_57-40,1790,3532,1204,208,0839
