Code,BX,BY,Width,Height,Page
LIN_59-1,440,309,1298,456,0844
LIN_59-2,526,717,1176,346,0844
LIN_59-3,524,951,1158,262,0844
LIN_59-4,502,1199,1246,388,0844
LIN_59-5,254,1573,1494,476,0844
LIN_59-6,526,1945,1204,204,0844
LIN_59-7,522,2119,1202,410,0844
LIN_59-8,514,2491,1198,268,0844
LIN_59-9,490,2665,1234,410,0844
LIN_59-10,494,3039,1126,178,0844
LIN_59-11,506,3191,1228,334,0844
LIN_59-12,504,3495,1224,278,0844
LIN_59-12,1900,284,1040,174,0844
LIN_59-13,1834,428,1130,254,0844
LIN_59-14,1830,640,1090,262,0844
LIN_59-15,1872,854,1066,432,0844
LIN_59-16,1820,1266,1106,338,0844
LIN_59-17,1828,1572,1100,338,0844
LIN_59-18,1808,1864,1136,360,0844
LIN_59-19,1812,2082,1126,298,0844
LIN_59-20,1808,2328,1098,426,0844
LIN_59-21,1792,2722,1108,206,0844
LIN_60-1,1746,2992,1234,530,0844
