Code,BX,BY,Width,Height,Page
LIN_56-11,264,364,1044,178,0835
LIN_56-12,228,482,1104,264,0835
LIN_56-13,236,706,1142,364,0835
LIN_56-14,228,1020,1176,440,0835
LIN_56-15,220,1358,1190,254,0835
LIN_56-16,240,1584,1132,324,0835
LIN_56-17,218,1814,1178,486,0835
LIN_56-18,156,2084,1236,524,0835
LIN_56-19,246,2568,1170,260,0835
LIN_56-20,238,2826,1178,292,0835
LIN_56-21,252,3084,1216,190,0835
LIN_56-22,260,3228,1162,216,0835
LIN_56-23,210,3432,1200,254,0835
LIN_57-1,1432,298,1208,534,0835
LIN_57-2,1498,734,1118,248,0835
LIN_57-3,1520,944,1108,204,0835
LIN_57-4,1516,1096,1106,210,0835
LIN_57-5,1500,1252,1152,358,0835
LIN_57-6,1514,1574,1190,358,0835
LIN_57-7,1514,1860,1148,420,0835
LIN_57-8,1534,2196,1146,188,0835
LIN_57-9,1578,2336,722,108,0835
LIN_57-10,1538,2450,1174,380,0835
LIN_57-11,1530,2728,1158,324,0835
LIN_57-12,1556,3018,1168,440,0835
LIN_57-13,1568,3406,1120,256,0835
LIN_57-14,1564,3614,1114,160,0835
