Code,BX,BY,Width,Height,Page
LIN_1-40,572,474,1100,204,0694
LIN_1-41,578,646,1122,160,0694
LIN_1-42,568,704,1112,210,0694
LIN_1-43,586,862,870,110,0694
LIN_1-44,582,944,1000,110,0694
LIN_1-45,592,1030,1058,94,0694
LIN_1-46,592,1110,998,92,0694
LIN_1-47,598,1182,920,108,0694
LIN_1-48,596,1252,1060,114,0694
LIN_1-49,592,1322,1100,128,0694
LIN_1-50,594,1420,1056,168,0694
LIN_1-51,576,1490,460,116,0694
LIN_1-52,598,1570,980,102,0694
LIN_1-53,598,1654,1004,98,0694
LIN_1-54,592,1712,782,110,0694
LIN_1-55,582,1800,1078,166,0694
LIN_1-56,576,1936,1102,118,0694
LIN_1-57,578,2030,1066,114,0694
LIN_1-58,572,2106,1040,110,0694
LIN_1-59,580,2180,822,116,0694
LIN_1-60,582,2266,1000,102,0694
LIN_1-61,588,2350,1042,160,0694
LIN_1-62,580,2422,886,80,0694
LIN_1-63,568,2484,1100,188,0694
LIN_1-64,584,2632,1064,418,0694
LIN_1-65,492,3076,1180,548,0694
LIN_1-66,514,3606,1120,374,0694
LIN_1-67,1826,476,1106,252,0694
LIN_1-68,1834,682,1074,200,0694
LIN_1-69,1842,758,1076,192,0694
LIN_1-70,1846,916,1084,202,0694
LIN_1-71,1840,1086,1076,176,0694
LIN_1-72,1834,1242,1096,104,0694
LIN_1-73,1834,1328,932,96,0694
LIN_1-74,1840,1404,1096,170,0694
LIN_1-75,1824,1552,1116,96,0694
LIN_1-76,1826,1628,1084,108,0694
LIN_1-77,1840,1682,1100,282,0694
LIN_1-78,1846,1944,1060,166,0694
LIN_1-79,1828,2084,1072,196,0694
LIN_1-80,1818,2254,1124,424,0694
LIN_1-81,1788,2688,1106,452,0694
LIN_1-82,1838,3030,1052,246,0694
LIN_1-83,1844,3170,1074,180,0694
LIN_1-84,1832,3320,1074,202,0694
LIN_1-85,1834,3488,1054,172,0694
LIN_1-86,1840,3624,1080,198,0694
LIN_1-87,1842,3768,1104,164,0694
