Code,BX,BY,Width,Height,Page
LIN_27-45,503,262,1208,286,0794
LIN_27-46,497,422,1218,258,0794
LIN_27-47,507,630,1168,456,0794
LIN_27-48,505,944,1160,304,0794
LIN_27-49,509,1138,1138,242,0794
LIN_27-50,493,1364,1182,414,0794
LIN_27-51,489,1668,1182,424,0794
LIN_27-52,493,2064,1088,190,0794
LIN_27-53,499,2204,1148,430,0794
LIN_27-54,485,2596,1128,356,0794
LIN_27-55,483,2912,1192,270,0794
LIN_27-56,495,3142,1124,282,0794
LIN_27-57,497,3382,1196,444,0794
LIN_27-58,1801,242,1170,302,0794
LIN_27-59,1801,492,1148,412,0794
LIN_27-60,1793,872,1162,278,0794
LIN_27-61,1801,1100,1190,306,0794
LIN_27-62,1803,1340,1154,224,0794
LIN_27-63,1803,1572,1106,208,0794
LIN_27-64,1763,1736,1176,288,0794
