Code,BX,BY,Width,Height,Page
LIN_40-1,154,276,1168,426,0820
LIN_40-2,184,658,1194,280,0820
LIN_40-3,216,898,1078,208,0820
LIN_40-4,200,1046,1186,394,0820
LIN_40-5,202,1380,1140,416,0820
LIN_40-6,212,1774,1108,348,0820
LIN_40-7,216,2084,1140,278,0820
LIN_40-8,146,2318,1194,210,0820
LIN_40-9,204,2458,1138,304,0820
LIN_40-10,216,2710,1136,340,0820
LIN_40-11,222,3010,1130,174,0820
LIN_40-12,216,3148,1138,296,0820
LIN_40-13,216,3406,1226,118,0820
LIN_40-14,244,3496,1104,182,0820
LIN_40-15,230,3622,1064,142,0820
LIN_40-15,1528,296,1068,200,0820
LIN_40-16,1478,380,1108,178,0820
LIN_40-17,1478,526,1274,414,0820
LIN_40-18,1476,926,1140,166,0820
LIN_40-19,1490,1074,1204,126,0820
LIN_40-20,1496,1162,1142,266,0820
LIN_40-21,1490,1396,1092,202,0820
LIN_40-22,1524,1548,1082,126,0820
LIN_40-23,1504,1628,1220,354,0820
LIN_40-24,1510,1954,1142,306,0820
LIN_40-25,1490,2240,1106,208,0820
LIN_40-26,1504,2406,1168,528,0820
LIN_41-1,1452,2988,1360,454,0820
LIN_41-2,1516,3404,1216,220,0820
