Code,BX,BY,Width,Height,Page
LIN_8-18,195,332,332,102,0730
LIN_8-19,152,384,1078,360,0730
LIN_8-20,166,702,1108,364,0730
LIN_8-21,218,1026,1022,206,0730
LIN_8-22,192,1190,1094,434,0730
LIN_8-23,150,1570,1176,374,0730
LIN_8-24,898,1822,418,128,0730
LIN_8-25,156,1870,1114,306,0730
LIN_8-26,234,2130,1032,208,0730
LIN_8-27,142,2258,1124,312,0730
LIN_8-28,158,2496,1160,452,0730
LIN_8-29,174,2890,1100,222,0730
LIN_8-30,246,3066,1040,192,0730
LIN_8-31,210,3220,1158,352,0730
LIN_8-32,252,3526,1098,266,0730
LIN_8-33,1416,332,1074,256,0730
LIN_8-34,1378,574,1162,344,0730
LIN_8-35,1452,892,1064,170,0730
LIN_8-36,1432,1046,1090,266,0730
LIN_8-37,1446,1298,1064,244,0730
LIN_8-38,1448,1524,1100,240,0730
LIN_8-39,1420,1754,1138,338,0730
LIN_9-1,1406,2640,1216,600,0730
LIN_9-2,1478,3218,1138,272,0730
