Code,BX,BY,Width,Height,Page
LIN_35-14,154,242,1184,526,0815
LIN_35-15,176,724,1118,332,0815
LIN_35-16,182,1024,1152,372,0815
LIN_35-17,208,1358,1124,270,0815
LIN_36-1,130,1712,1232,640,0815
LIN_36-2,194,2282,1216,696,0815
LIN_36-3,208,2930,1214,268,0815
LIN_36-4,212,3136,1188,440,0815
LIN_36-5,264,3498,1132,160,0815
LIN_37-1,1364,260,1288,418,0815
LIN_37-2,1436,648,1276,958,0815
LIN_37-3,1488,1518,1154,264,0815
LIN_37-4,1482,1728,1208,190,0815
LIN_37-5,1504,1890,1196,212,0815
LIN_37-6,1488,2060,1202,348,0815
LIN_37-7,1500,2292,1240,288,0815
