Code,BX,BY,Width,Height,Page
LIN_25-13,543,370,1204,474,0784
LIN_25-14,549,708,1190,192,0784
LIN_25-15,567,860,1092,366,0784
LIN_25-16,549,1178,1148,298,0784
LIN_25-17,547,1440,1096,246,0784
LIN_25-18,535,1652,1184,210,0784
LIN_25-19,541,1850,1148,542,0784
LIN_25-20,515,2274,1124,358,0784
LIN_25-21,531,2492,1102,284,0784
LIN_25-22,529,2730,1112,204,0784
LIN_25-23,525,2888,1074,204,0784
LIN_25-24,515,3048,1126,286,0784
LIN_25-25,501,3202,1178,284,0784
LIN_26-1,1757,378,1208,440,0784
LIN_26-2,1823,766,1118,284,0784
LIN_26-3,1833,1004,1092,300,0784
LIN_26-4,1819,1268,1180,376,0784
LIN_26-5,1851,1564,1102,202,0784
LIN_26-6,1863,1740,1058,250,0784
LIN_26-7,1781,1956,1152,276,0784
LIN_26-9,1801,2188,1110,206,0784
LIN_26-10,1795,2340,1156,438,0784
LIN_26-11,1803,2736,1216,358,0784
LIN_26-13,1807,3022,1180,302,0784
LIN_26-24,1777,3284,1196,268,0784
LIN_26-14,1797,3506,1144,278,0784
LIN_26-15,1795,3740,854,268,0784
