Code,BX,BY,Width,Height,Page
LIN_48-12,213,302,1148,370,0830
LIN_48-13,231,634,1110,272,0830
LIN_48-14,233,880,1120,270,0830
LIN_48-15,235,1112,1100,274,0830
LIN_48-16,245,1350,1116,204,0830
LIN_49-1,183,1848,1196,536,0830
LIN_49-2,241,2340,1186,292,0830
LIN_49-3,283,2606,1066,172,0830
LIN_49-4,235,2746,1178,280,0830
LIN_49-5,247,2972,1126,186,0830
LIN_49-6,247,3114,1154,174,0830
LIN_50-1,219,3316,1206,458,0830
LIN_51-1,1441,326,1300,500,0830
LIN_51-2,1481,790,1228,432,0830
LIN_51-3,1555,1202,1164,438,0830
LIN_51-4,1543,1638,1178,374,0830
LIN_51-5,1531,1982,1280,190,0830
LIN_51-6,1539,2142,1140,248,0830
LIN_51-7,1559,2362,1160,276,0830
LIN_51-8,1569,2620,1084,186,0830
LIN_51-9,1599,2764,1130,178,0830
LIN_51-10,1599,2834,1142,316,0830
LIN_51-11,1583,3130,1112,182,0830
LIN_51-12,1561,3284,1260,570,0830
