Code,BX,BY,Width,Height,Page
LIN_24-1,435,314,1312,524,0774
LIN_24-2,583,806,1168,218,0774
LIN_24-3,591,970,1118,208,0774
LIN_24-4,573,1058,1140,212,0774
LIN_24-5,573,1246,1170,322,0774
LIN_24-6,557,1476,1158,248,0774
LIN_24-7,553,1684,1162,284,0774
LIN_24-8,559,1912,1098,138,0774
LIN_24-9,595,2004,974,118,0774
LIN_24-10,555,2084,1142,356,0774
LIN_24-11,557,2368,1134,144,0774
LIN_24-12,531,2490,1234,502,0774
LIN_24-13,521,2980,1132,448,0774
LIN_24-14,525,3388,1166,420,0774
LIN_24-21,439,3756,1232,168,0774
LIN_24-15,1857,348,1152,288,0774
LIN_24-16,1865,596,954,132,0774
LIN_24-17,1825,718,1136,440,0774
LIN_24-18,1847,1134,1136,280,0774
LIN_24-19,1837,1382,1116,258,0774
LIN_24-20,1807,1594,1126,446,0774
LIN_24-22,1811,2012,1162,388,0774
LIN_24-23,1835,2380,1110,142,0774
LIN_24-24,1819,2482,1184,346,0774
LIN_24-25,1831,2844,1152,356,0774
LIN_24-26,1827,3168,1120,266,0774
LIN_24-27,1821,3396,1164,272,0774
LIN_24-28,1823,3616,1160,124,0774
LIN_24-29,1823,3688,1152,208,0774
