Code,BX,BY,Width,Height,Page
LIN_42-1,399,250,1280,662,0824
LIN_42-2,517,888,1140,512,0824
LIN_42-3,517,1284,1142,270,0824
LIN_42-4,517,1460,1140,266,0824
LIN_42-5,517,1606,1138,268,0824
LIN_42-6,503,1766,1120,172,0824
LIN_42-7,501,1926,1152,274,0824
LIN_42-8,531,2074,792,188,0824
LIN_42-9,475,2222,1208,370,0824
LIN_42-10,477,2554,1196,260,0824
LIN_42-11,527,2786,1064,182,0824
LIN_42-12,515,2938,1126,114,0824
LIN_42-13,501,3026,1186,310,0824
LIN_42-14,519,3310,1120,370,0824
LIN_42-15,529,3598,1104,178,0824
LIN_42-15,1868,250,1102,300,0824
LIN_42-16,1804,504,1154,408,0824
LIN_42-17,1800,886,1154,276,0824
LIN_42-18,1818,1140,1078,172,0824
LIN_42-19,1812,1278,1138,294,0824
LIN_43-1,1712,1854,1292,556,0824
LIN_43-2,1798,2378,1166,286,0824
LIN_43-3,1810,2618,1176,370,0824
LIN_43-4,1802,2914,1188,266,0824
LIN_43-5,1800,3132,1198,300,0824
LIN_43-6,1814,3394,1148,198,0824
