Code,BX,BY,Width,Height,Page
LIN_22-16,224,338,590,144,0770
LIN_22-17,174,426,1092,292,0770
LIN_22-18,180,666,1130,206,0770
LIN_22-19,140,810,1162,274,0770
LIN_22-20,148,1046,1146,218,0770
LIN_22-21,184,1212,1116,232,0770
LIN_22-22,186,1296,1124,362,0770
LIN_22-23,236,1616,1030,188,0770
LIN_22-24,200,1750,1108,388,0770
LIN_22-25,192,2086,1094,352,0770
LIN_22-26,196,2428,1170,780,0770
LIN_22-28,206,3164,1118,450,0770
LIN_22-27,186,3536,1138,212,0770
LIN_22-36,150,3688,1156,166,0770
LIN_22-36,1450,382,1046,198,0770
LIN_22-29,1408,534,1164,416,0770
LIN_22-30,1414,900,1158,370,0770
LIN_22-31,1430,1250,1132,416,0770
LIN_22-32,1438,1622,1158,362,0770
LIN_22-33,1440,1864,1152,272,0770
LIN_22-34,1450,2100,1196,260,0770
LIN_22-35,1452,2324,1208,350,0770
LIN_22-37,1466,2644,1078,118,0770
LIN_22-38,1472,2734,1170,268,0770
LIN_23-1,1466,3136,1190,666,0770
