Code,BX,BY,Width,Height,Page
LIN_26-16,220,262,1170,308,0785
LIN_26-17,236,518,1132,338,0785
LIN_26-18,240,830,1134,196,0785
LIN_26-19,250,994,1154,116,0785
LIN_26-20,236,1082,1168,340,0785
LIN_26-21,248,1390,1152,194,0785
LIN_26-8,174,1530,1332,302,0785
LIN_26-22,248,1776,1154,434,0785
LIN_26-12,178,2148,1240,146,0785
LIN_26-23,230,2258,1232,444,0785
LIN_26-25,252,2664,1182,408,0785
LIN_26-26,252,2998,1138,372,0785
LIN_26-27,254,3324,1212,302,0785
LIN_26-28,284,3566,1124,200,0785
LIN_26-29,1546,154,1138,182,0785
LIN_26-30,1518,302,1174,344,0785
LIN_26-31,1528,618,1186,278,0785
LIN_26-32,1542,842,1204,202,0785
LIN_26-33,1540,996,1154,358,0785
LIN_26-34,1552,1326,1188,190,0785
LIN_26-35,1556,1468,1176,272,0785
LIN_26-36,1556,1696,1182,420,0785
LIN_26-37,1566,2086,1160,352,0785
LIN_26-38,1570,2404,1168,196,0785
LIN_26-39,1572,2548,1172,224,0785
LIN_26-40,1552,2712,1214,352,0785
LIN_26-41,1584,3024,1130,258,0785
LIN_26-42,1592,3240,1200,278,0785
LIN_26-43,1598,3488,1196,362,0785
