Code,BX,BY,Width,Height,Page
LIN_52-1,385,278,1256,464,0834
LIN_52-2,513,708,1128,256,0834
LIN_53-1,407,1104,1186,510,0834
LIN_53-2,475,1558,1202,420,0834
LIN_54-1,383,1936,1302,500,0834
LIN_54-2,467,2426,1166,222,0834
LIN_55-1,403,2862,1220,518,0834
LIN_55-2,469,3256,1156,294,0834
LIN_55-3,441,3408,1206,340,0834
LIN_55-4,447,3704,1124,200,0834
LIN_56-1,1717,288,1240,436,0834
LIN_56-2,1777,692,1158,272,0834
LIN_56-3,1809,920,1150,286,0834
LIN_56-4,1811,1166,1146,364,0834
LIN_56-5,1799,1412,1168,334,0834
LIN_56-6,1779,1708,1172,444,0834
LIN_56-7,1777,2114,1172,418,0834
LIN_56-8,1787,2508,1122,420,0834
LIN_56-9,1767,2882,1198,490,0834
LIN_56-10,1763,3252,1198,302,0834
LIN_56-11,1745,3488,1240,294,0834
