Code,BX,BY,Width,Height,Page
LIN_26-44,420,278,1170,374,0789
LIN_26-45,442,622,1144,346,0789
LIN_26-46,428,960,1146,390,0789
LIN_26-47,434,1312,1156,286,0789
LIN_26-48,432,1552,1162,338,0789
LIN_26-49,412,1850,1180,352,0789
LIN_26-50,408,2152,1134,358,0789
LIN_26-51,418,2526,1152,304,0789
LIN_26-52,420,2792,1166,196,0789
LIN_26-53,430,2984,1140,480,0789
LIN_26-54,468,3322,1090,274,0789
LIN_27-1,1642,252,1250,458,0789
LIN_27-2,1704,686,1248,260,0789
LIN_27-3,1744,898,1174,348,0789
LIN_27-4,1738,1132,1194,216,0789
LIN_27-5,1730,1318,1214,338,0789
LIN_27-6,1714,1612,1212,192,0789
LIN_27-7,1710,1774,1264,350,0789
LIN_27-8,1720,2096,1200,174,0789
LIN_27-9,1732,2244,1172,270,0789
LIN_27-10,1714,2388,1188,438,0789
LIN_27-11,1750,2802,1060,118,0789
LIN_27-12,1722,2876,1188,252,0789
LIN_27-13,1720,3076,1182,194,0789
LIN_27-14,1700,3234,1208,498,0789
LIN_27-15,1686,3700,1190,180,0789
LIN_27-16,1706,3836,1100,124,0789
