Code,BX,BY,Width,Height,Page
LIN_63-15,547,308,1210,608,0849
LIN_63-16,551,798,1162,190,0849
LIN_63-17,569,944,1138,140,0849
LIN_63-18,565,1042,1108,118,0849
LIN_63-19,553,1102,1092,190,0849
LIN_63-20,547,1276,1170,102,0849
LIN_63-21,565,1358,1166,174,0849
LIN_63-22,503,1504,1192,250,0849
LIN_63-23,547,1724,1110,318,0849
LIN_63-24,521,2024,1158,114,0849
LIN_63-25,517,2104,1128,166,0849
LIN_63-26,559,2240,1086,138,0849
LIN_64-11,505,3156,1178,236,0849
LIN_64-12,509,3348,1164,112,0849
LIN_64-13,525,3424,1126,112,0849
LIN_64-14,509,3504,1194,282,0849
LIN_64-1,1772,298,1218,836,0849
LIN_64-2,1820,1098,1130,432,0849
LIN_64-3,1830,1494,1102,350,0849
LIN_64-4,1824,1812,1112,252,0849
LIN_64-5,1810,1954,1144,352,0849
LIN_64-6,1804,2254,1128,418,0849
LIN_64-7,1802,2654,1154,272,0849
LIN_64-8,1790,2868,1162,272,0849
LIN_64-9,1806,3096,1088,198,0849
LIN_64-10,1768,3244,1198,218,0849
LIN_64-15,1788,3458,1156,320,0849
