Code,BX,BY,Width,Height,Page
LIN_34-13,511,256,1088,288,0814
LIN_34-14,517,506,1068,264,0814
LIN_34-15,503,740,1130,254,0814
LIN_34-16,505,954,1092,220,0814
LIN_34-17,507,1136,1162,266,0814
LIN_34-18,503,1284,1108,284,0814
LIN_34-19,491,1520,1070,194,0814
LIN_34-20,493,1672,1116,188,0814
LIN_34-21,497,1830,1148,286,0814
LIN_34-22,501,1996,1134,190,0814
LIN_34-23,495,2150,1138,264,0814
LIN_34-24,459,2378,1192,376,0814
LIN_34-25,479,2632,1152,282,0814
LIN_34-26,493,2858,1142,118,0814
LIN_34-27,473,2938,1150,262,0814
LIN_35-1,1678,222,1294,590,0814
LIN_35-2,1808,790,1162,256,0814
LIN_35-3,1812,1008,1158,366,0814
LIN_35-4,1798,1308,1204,374,0814
LIN_35-5,1790,1656,1144,174,0814
LIN_35-6,1794,1786,1186,450,0814
LIN_35-7,1808,2136,1198,270,0814
LIN_35-8,1788,2280,1136,208,0814
LIN_35-9,1794,2458,1184,446,0814
LIN_35-11,1720,2776,1238,322,0814
LIN_35-12,1790,3068,1164,376,0814
LIN_35-13,1782,3402,1178,348,0814
LIN_35-10,1588,3678,1388,230,0814
