Code,BX,BY,Width,Height,Page
LIN_30-17,515,208,1136,372,0804
LIN_30-18,507,532,1176,498,0804
LIN_30-19,487,982,1164,450,0804
LIN_30-20,485,1400,1152,502,0804
LIN_30-21,531,1764,826,136,0804
LIN_30-22,505,1902,1100,504,0804
LIN_30-23,491,2374,1070,308,0804
LIN_30-24,489,2630,1070,200,0804
LIN_30-25,477,2778,1130,274,0804
LIN_30-26,461,2998,1102,292,0804
LIN_30-27,467,3232,1150,444,0804
LIN_30-28,1822,214,1130,454,0804
LIN_30-29,1838,628,1110,582,0804
LIN_30-30,1798,1104,1118,424,0804
LIN_30-31,1810,1470,1142,438,0804
LIN_30-32,1794,1862,1170,354,0804
LIN_30-33,1700,2106,1260,510,0804
LIN_30-34,1808,2582,1146,118,0804
LIN_30-35,1820,2670,1162,184,0804
LIN_30-36,1762,2718,1226,500,0804
LIN_30-37,1790,3184,1158,302,0804
