Code,BX,BY,Width,Height,Page
LIN_67-11,567,339,914,94,0854
LIN_67-12,509,399,1042,266,0854
LIN_67-13,495,619,1092,406,0854
LIN_67-14,477,989,1128,296,0854
LIN_67-15,489,1163,1180,226,0854
LIN_67-16,505,1327,1080,214,0854
LIN_67-17,495,1487,1126,188,0854
LIN_67-18,497,1629,1138,196,0854
LIN_67-19,517,1791,1150,266,0854
LIN_67-20,491,1929,1162,360,0854
LIN_67-21,515,2261,1136,242,0854
LIN_67-22,483,2481,1148,292,0854
LIN_67-23,491,2723,1092,256,0854
LIN_67-24,485,2939,1144,258,0854
LIN_67-25,513,3147,1128,296,0854
LIN_67-26,491,3307,1150,270,0854
LIN_67-27,529,3555,1108,198,0854
LIN_68-1,1709,224,1264,526,0854
LIN_68-2,1811,718,1146,426,0854
LIN_68-3,1805,1100,1104,280,0854
LIN_68-4,1813,1358,1098,342,0854
LIN_68-5,1803,1708,1148,292,0854
LIN_68-6,1819,1938,1116,292,0854
LIN_68-7,1819,2108,856,114,0854
LIN_68-8,1791,2200,1128,226,0854
LIN_68-9,1781,2394,1130,200,0854
LIN_68-10,1781,2562,1130,186,0854
LIN_68-11,1783,2718,1166,184,0854
LIN_68-12,1791,2874,1140,254,0854
LIN_68-13,1795,3016,1168,260,0854
LIN_68-14,1791,3236,1158,286,0854
LIN_68-15,1791,3482,1114,262,0854
