Code,BX,BY,Width,Height,Page
LIN_16-36,579,352,1142,396,0764
LIN_16-37,903,652,816,106,0764
LIN_16-38,647,706,1080,256,0764
LIN_16-39,587,918,1130,356,0764
LIN_16-40,609,1244,1110,192,0764
LIN_16-41,579,1406,1082,252,0764
LIN_16-42,625,1644,786,96,0764
LIN_16-43,595,1714,1092,330,0764
LIN_16-44,567,2010,1126,338,0764
LIN_16-45,575,2240,1102,268,0764
LIN_16-46,561,2474,1110,332,0764
LIN_16-47,555,2788,1124,340,0764
LIN_16-48,573,3092,1074,148,0764
LIN_16-49,537,3216,1170,224,0764
LIN_16-50,553,3398,1126,198,0764
LIN_17-1,1763,366,1192,520,0764
LIN_17-2,1831,826,1114,546,0764
LIN_17-3,1863,1324,1018,198,0764
LIN_18-1,1753,2066,1168,518,0764
LIN_18-2,1849,2538,1082,296,0764
LIN_18-3,1815,2780,1148,378,0764
LIN_18-4,1813,3142,1146,376,0764
LIN_18-6,1811,3482,1112,330,0764
LIN_18-5,1735,3774,1246,222,0764
