Code,BX,BY,Width,Height,Page
LIN_12-24,663,336,1053,189,0739
LIN_12-25,596,500,1150,252,0739
LIN_12-26,606,710,1122,194,0739
LIN_12-27,590,858,1122,194,0739
LIN_12-28,590,1016,1132,284,0739
LIN_12-29,578,1260,1132,570,0739
LIN_12-30,534,1788,1148,206,0739
LIN_12-31,562,1958,1142,254,0739
LIN_12-32,560,2110,1102,336,0739
LIN_12-33,548,2406,1122,212,0739
LIN_12-34,548,2578,1150,264,0739
LIN_12-35,538,2800,1206,256,0739
LIN_12-36,526,3018,1162,288,0739
LIN_12-37,504,3272,1180,268,0739
LIN_12-38,546,3588,1146,166,0739
LIN_12-38,1906,372,744,110,0739
LIN_12-39,1850,426,1074,276,0739
LIN_12-40,1776,596,1196,312,0739
LIN_12-41,1776,844,1220,224,0739
LIN_12-42,1778,1020,1194,422,0739
LIN_12-43,1822,1392,1158,602,0739
LIN_12-44,1892,1856,1072,462,0739
LIN_12-46,1894,2212,1064,170,0739
LIN_12-47,1816,2334,1168,730,0739
LIN_12-48,1848,3040,1142,652,0739
LIN_12-45,1788,3656,1224,186,0739
