Code,BX,BY,Width,Height,Page
LIN_57-41,210,290,1114,374,0840
LIN_57-42,222,624,1162,206,0840
LIN_57-43,238,772,1100,360,0840
LIN_57-44,234,1080,1122,390,0840
LIN_57-45,244,1400,1126,368,0840
LIN_57-46,254,1724,1150,404,0840
LIN_57-47,256,2018,1154,346,0840
LIN_57-48,244,2320,1178,510,0840
LIN_57-49,260,2734,1148,176,0840
LIN_57-50,264,2874,1134,316,0840
LIN_57-51,274,3100,1058,246,0840
LIN_57-52,278,3320,1080,184,0840
LIN_57-53,280,3466,1122,248,0840
LIN_57-54,1452,312,1164,384,0840
LIN_57-55,1456,588,1184,406,0840
LIN_57-56,1496,960,1242,288,0840
LIN_57-57,1484,1192,1118,194,0840
LIN_58-1,1450,1476,1242,594,0840
LIN_58-2,1488,1936,1218,430,0840
LIN_58-3,1496,2252,1130,288,0840
LIN_58-4,1504,2490,1188,278,0840
LIN_58-5,1524,2738,1136,248,0840
LIN_58-6,1508,2950,1248,352,0840
LIN_58-7,1528,3258,1172,204,0840
LIN_58-8,1554,3408,1112,272,0840
