Code,BX,BY,Width,Height,Page
LIN_64-15,208,354,1160,414,0850
LIN_64-16,206,660,1114,318,0850
LIN_64-17,208,944,1122,368,0850
LIN_64-18,210,1252,1168,384,0850
LIN_64-19,194,1584,1172,332,0850
LIN_65-1,168,1854,1212,462,0850
LIN_65-2,220,2260,1140,270,0850
LIN_65-3,206,2476,1168,376,0850
LIN_65-4,202,2790,1222,286,0850
LIN_65-5,200,3014,1212,540,0850
LIN_66-1,1392,338,1276,358,0850
LIN_66-2,1486,576,1180,260,0850
LIN_67-1,1436,992,1218,472,0850
LIN_67-2,1520,1358,1192,200,0850
LIN_67-3,1522,1528,1124,100,0850
LIN_67-4,1532,1596,1110,180,0850
LIN_67-5,1522,1744,1166,314,0850
LIN_67-6,1506,2050,1234,138,0850
LIN_67-7,1506,2140,1186,402,0850
LIN_67-8,1526,2504,1182,278,0850
LIN_67-9,1526,2744,1188,400,0850
LIN_67-10,1524,3104,1190,340,0850
LIN_67-11,1538,3420,1196,400,0850
