Code,BX,BY,Width,Height,Page
LIN_2-23,212,408,1188,344,0700
LIN_2-24,238,738,1032,202,0700
LIN_2-25,240,904,1060,290,0700
LIN_2-26,244,1116,1036,144,0700
LIN_2-27,246,1220,1098,350,0700
LIN_2-28,222,1528,1130,360,0700
LIN_2-29,260,1866,1138,492,0700
LIN_2-30,292,2314,1106,192,0700
LIN_2-31,292,2474,1068,184,0700
LIN_2-32,290,2632,1240,258,0700
LIN_2-33,292,2852,1066,394,0700
LIN_2-34,276,3226,1148,506,0700
LIN_2-35,308,3694,1126,184,0700
LIN_2-35,1502,420,884,124,0700
LIN_2-36,1452,502,1144,492,0700
LIN_2-37,1502,970,1092,572,0700
LIN_2-38,1502,1516,1154,418,0700
LIN_2-39,1516,1904,1128,258,0700
LIN_2-40,1518,2134,1190,426,0700
LIN_2-41,1554,2520,1172,292,0700
LIN_2-42,1532,2790,1272,544,0700
