Code,BX,BY,Width,Height,Page
LIN_32-1,423,234,1268,522,0809
LIN_32-2,545,734,1102,160,0809
LIN_32-3,543,858,1106,354,0809
LIN_32-4,443,1186,1200,338,0809
LIN_32-6,537,1498,1110,334,0809
LIN_32-7,505,1786,1216,358,0809
LIN_32-8,515,2106,1092,360,0809
LIN_32-9,501,2426,1130,344,0809
LIN_32-10,495,2728,1100,182,0809
LIN_32-11,489,2862,1168,344,0809
LIN_32-12,487,3086,1122,456,0809
LIN_32-13,471,3430,1158,296,0809
LIN_32-13,1843,174,1138,214,0809
LIN_32-14,1813,342,1142,200,0809
LIN_32-15,1835,488,1140,270,0809
LIN_32-16,1811,714,1154,178,0809
LIN_32-17,1785,858,1164,448,0809
LIN_32-18,1809,1270,1086,196,0809
LIN_32-19,1801,1422,1140,262,0809
LIN_32-20,1797,1634,1178,356,0809
LIN_32-21,1803,1860,1162,426,0809
LIN_32-22,1799,2172,1168,216,0809
LIN_32-23,1793,2338,1128,208,0809
LIN_32-24,1789,2504,1152,350,0809
LIN_32-25,1677,2746,1246,274,0809
LIN_32-26,1687,2900,1258,300,0809
LIN_32-27,1787,3100,1158,282,0809
LIN_32-28,1769,3272,1170,328,0809
LIN_32-5,1683,3550,1278,242,0809
