Code,BX,BY,Width,Height,Page
LIN_38-1,394,261,1286,514,0819
LIN_38-2,500,733,1160,272,0819
LIN_38-3,522,959,1156,522,0819
LIN_38-4,498,1435,1198,292,0819
LIN_38-5,494,1663,1174,264,0819
LIN_38-6,498,1903,1182,202,0819
LIN_38-7,526,2057,1092,206,0819
LIN_38-8,490,2251,1210,480,0819
LIN_38-9,470,2621,1244,328,0819
LIN_38-10,482,2921,1118,414,0819
LIN_38-11,472,3219,1122,354,0819
LIN_38-12,470,3519,1174,218,0819
LIN_38-12,1876,258,1010,134,0819
LIN_38-13,1822,346,1130,422,0819
LIN_38-14,1806,724,1144,432,0819
LIN_39-1,1722,1338,1224,666,0819
LIN_39-2,1794,1970,1104,260,0819
LIN_39-3,1792,2206,1178,548,0819
LIN_39-4,1824,2626,980,186,0819
