Code,BX,BY,Width,Height,Page
LIN_14-79,585,366,1120,138,0759
LIN_14-80,571,464,1134,188,0759
LIN_14-81,567,622,1122,246,0759
LIN_14-82,569,846,1122,260,0759
LIN_14-83,561,992,1124,394,0759
LIN_14-84,511,1370,1170,432,0759
LIN_14-85,531,1776,1144,280,0759
LIN_14-86,477,1938,1190,272,0759
LIN_14-87,507,2172,1176,368,0759
LIN_14-88,513,2550,1106,294,0759
LIN_14-89,523,2794,1086,346,0759
LIN_14-90,521,3108,1070,250,0759
LIN_14-91,507,3334,1116,118,0759
LIN_14-92,465,3440,1164,448,0759
LIN_14-93,1799,422,1122,426,0759
LIN_14-94,1801,748,1112,276,0759
LIN_14-95,1793,968,1114,366,0759
LIN_14-96,1809,1312,1138,202,0759
LIN_14-97,1778,1516,1116,524,0759
LIN_14-98,1808,2014,1100,272,0759
LIN_14-99,1814,2248,1164,186,0759
LIN_14-100,1820,2390,1118,272,0759
LIN_14-101,1814,2638,1104,304,0759
LIN_15-1,1700,2944,1254,520,0759
LIN_15-2,1734,3410,1218,304,0759
