Code,BX,BY,Width,Height,Page
LIN_32-29,164,251,1162,364,0810
LIN_32-30,162,479,1172,216,0810
LIN_32-31,154,641,1142,328,0810
LIN_32-32,158,927,1160,468,0810
LIN_32-33,172,1349,1120,194,0810
LIN_32-34,198,1505,1124,358,0810
LIN_32-35,218,1801,970,140,0810
LIN_32-36,196,1891,1090,142,0810
LIN_33-1,146,2445,1240,530,0810
LIN_33-2,208,2853,1134,270,0810
LIN_34-1,1400,262,1244,532,0810
LIN_34-2,1466,680,1176,410,0810
LIN_34-3,1464,1064,1136,340,0810
LIN_34-4,1450,1382,1184,324,0810
LIN_34-5,1492,1684,1136,342,0810
LIN_34-6,1488,2012,1178,332,0810
LIN_34-7,1494,2230,1166,282,0810
LIN_34-8,1512,2476,1172,366,0810
LIN_34-9,1514,2816,1146,312,0810
LIN_34-10,1506,3086,1132,198,0810
LIN_34-11,1542,3240,1168,140,0810
LIN_34-12,1492,3362,1206,476,0810
