Code,BX,BY,Width,Height,Page
LIN_12-71,593,368,1066,278,0744
LIN_12-72,545,584,1266,206,0744
LIN_12-73,559,734,1144,260,0744
LIN_12-74,495,896,1172,372,0744
LIN_12-75,525,1142,1126,426,0744
LIN_12-76,487,1478,1184,648,0744
LIN_12-77,363,2040,1342,164,0744
LIN_12-78,493,2214,1164,212,0744
LIN_12-79,493,2374,1138,210,0744
LIN_12-80,475,2594,1162,302,0744
LIN_12-81,365,2830,1230,210,0744
LIN_12-82,471,2980,1098,282,0744
LIN_12-83,447,3158,1256,356,0744
LIN_12-84,451,3436,1208,456,0744
LIN_12-85,1839,320,1126,320,0744
LIN_12-86,1823,614,1106,332,0744
LIN_12-87,1843,898,1118,212,0744
LIN_12-88,1797,1070,1158,444,0744
LIN_12-89,1711,1358,1206,384,0744
LIN_12-90,1697,1682,1256,530,0744
LIN_12-91,1691,2050,1270,478,0744
LIN_12-92,1729,2488,1294,348,0744
LIN_12-93,1771,2708,1172,356,0744
LIN_12-94,1803,3026,1070,124,0744
LIN_12-95,1677,3086,1250,210,0744
LIN_12-96,1747,3250,1176,490,0744
LIN_12-97,1749,3658,1200,230,0744
