Code,BX,BY,Width,Height,Page
LIN_3-27,255,366,1134,408,0705
LIN_3-28,287,798,1084,204,0705
LIN_3-30,301,942,1060,232,0705
LIN_3-31,283,1110,1106,472,0705
LIN_3-32,267,1514,1124,742,0705
LIN_3-33,245,2230,1196,516,0705
LIN_3-34,279,2686,1142,354,0705
LIN_3-35,237,2974,1178,610,0705
LIN_3-36,251,3546,1162,422,0705
LIN_3-37,1537,408,1114,394,0705
LIN_3-38,1547,764,1128,182,0705
LIN_3-39,1495,910,1238,438,0705
LIN_3-40,1495,1304,1156,354,0705
LIN_3-41,1489,1626,1270,488,0705
LIN_3-42,1509,2096,1152,494,0705
LIN_3-43,1535,2614,1142,284,0705
LIN_3-44,1571,2872,1064,180,0705
LIN_3-45,1567,3020,1088,112,0705
LIN_3-46,1575,3098,1140,278,0705
LIN_3-47,1533,3318,1148,418,0705
LIN_3-29,1579,3846,574,106,0705
LIN_3-48,1521,3724,1186,250,0705
