Code,BX,BY,Width,Height,Page
LIN_18-7,190,318,1114,566,0765
LIN_18-8,198,800,1098,300,0765
LIN_18-9,198,1020,1046,326,0765
LIN_18-10,194,1262,1066,236,0765
LIN_18-11,196,1436,1152,286,0765
LIN_18-12,182,1652,1144,386,0765
LIN_18-13,204,1976,1140,416,0765
LIN_18-14,200,2342,1128,294,0765
LIN_18-15,220,2602,1138,458,0765
LIN_18-16,240,3030,1102,234,0765
LIN_18-17,232,3198,1144,358,0765
LIN_18-18,232,3506,1162,212,0765
LIN_18-19,1396,358,1240,406,0765
LIN_18-20,1394,746,1162,358,0765
LIN_18-21,1410,1062,1154,288,0765
LIN_18-22,1424,1318,1170,192,0765
LIN_18-23,1430,1468,1064,192,0765
LIN_18-24,1434,1660,1150,438,0765
LIN_18-25,1458,2070,1172,322,0765
LIN_18-26,1464,2358,1194,288,0765
LIN_18-27,1470,2654,1174,360,0765
LIN_18-28,1476,2988,1208,364,0765
LIN_18-29,1492,3356,1182,454,0765
