Code,BX,BY,Width,Height,Page
LIN_16-1,146,314,1164,466,0760
LIN_16-2,202,658,1106,264,0760
LIN_16-3,158,864,1164,298,0760
LIN_16-4,206,1040,1098,300,0760
LIN_16-5,234,1300,1056,192,0760
LIN_16-6,166,1434,1100,202,0760
LIN_16-7,206,1586,1076,274,0760
LIN_16-8,162,1830,1180,278,0760
LIN_16-9,212,2066,1108,332,0760
LIN_16-10,212,2364,1096,370,0760
LIN_16-11,262,2700,1060,326,0760
LIN_16-12,232,2984,1114,286,0760
LIN_16-13,250,3218,1096,196,0760
LIN_16-14,216,3376,1154,280,0760
LIN_16-17,176,3594,1234,292,0760
LIN_16-18,1396,362,1190,280,0760
LIN_16-19,1424,612,1118,258,0760
LIN_16-20,1400,764,1136,308,0760
LIN_16-22,1396,1040,1186,382,0760
LIN_16-21,2579,1272,444,218,0760
LIN_16-23,1463,1378,1112,262,0760
LIN_16-24,1479,1580,1190,282,0760
LIN_16-25,1479,1760,1204,178,0760
LIN_16-26,2087,1840,592,104,0760
LIN_16-27,1449,1898,1128,254,0760
LIN_16-28,1393,2132,1232,350,0760
LIN_16-29,1503,2456,894,104,0760
LIN_16-30,1469,2522,1228,264,0760
LIN_16-31,1981,2684,720,104,0760
LIN_16-32,1485,2758,1146,258,0760
LIN_16-33,1483,2994,1180,256,0760
LIN_16-34,1507,3212,1078,190,0760
LIN_16-15,1469,3372,1130,122,0760
LIN_16-16,1485,3460,1240,180,0760
LIN_16-35,1501,3602,1198,188,0760
