Code,BX,BY,Width,Height,Page
LIN_3-1,412,471,1320,417,0704
LIN_3-2,539,826,1126,362,0704
LIN_3-3,497,1128,1138,352,0704
LIN_3-4,519,1452,1152,370,0704
LIN_3-5,485,1814,1112,288,0704
LIN_3-6,485,2056,1128,410,0704
LIN_3-7,449,2444,1210,432,0704
LIN_3-8,481,2846,1104,400,0704
LIN_3-9,459,3210,1176,306,0704
LIN_3-10,489,3460,1098,204,0704
LIN_3-11,421,3602,1140,470,0704
LIN_3-12,1820,438,1110,308,0704
LIN_3-13,1816,712,1098,322,0704
LIN_3-14,1824,1012,1072,268,0704
LIN_3-15,1782,1266,1078,404,0704
LIN_3-16,1754,1636,1150,444,0704
LIN_3-19,1764,2000,1104,208,0704
LIN_3-20,1748,2170,1174,330,0704
LIN_3-21,1772,2478,1150,280,0704
LIN_3-24,1652,2750,158,232,0704
LIN_3-22,1728,2724,1242,332,0704
LIN_3-23,1796,3030,1094,164,0704
LIN_3-25,1746,3164,1130,272,0704
LIN_3-26,1774,3416,1146,194,0704
LIN_3-17,1700,3550,1228,282,0704
LIN_3-18,1606,3714,1300,284,0704
