Code,BX,BY,Width,Height,Page
LIN_12-1,134,361,1100,536,0735
LIN_12-2,198,839,1026,210,0735
LIN_12-3,160,995,1118,444,0735
LIN_12-4,152,1439,1112,616,0735
LIN_12-5,194,2025,1062,268,0735
LIN_12-6,218,2245,1022,294,0735
LIN_12-7,158,2515,1136,474,0735
LIN_12-8,172,2985,1072,306,0735
LIN_12-9,182,3253,1130,274,0735
LIN_12-10,238,3487,1078,178,0735
LIN_12-11,236,3627,1098,136,0735
LIN_12-11,1436,324,1018,214,0735
LIN_12-12,1424,510,1066,170,0735
LIN_12-13,1380,642,1128,318,0735
LIN_12-14,1380,932,1144,530,0735
LIN_12-15,1452,1340,850,166,0735
LIN_12-16,1452,1490,1096,100,0735
LIN_12-17,1398,1566,1192,338,0735
LIN_12-18,1410,1782,1196,286,0735
LIN_12-19,1400,2038,1178,400,0735
LIN_12-20,1422,2412,1156,476,0735
LIN_12-21,1446,2866,1156,490,0735
LIN_12-22,1524,3352,1148,186,0735
LIN_12-23,1526,3488,1202,184,0735
LIN_12-24,1520,3630,1164,150,0735
