Code,BX,BY,Width,Height,Page
LIN_14-52,236,378,760,130,0755
LIN_14-53,224,444,1074,210,0755
LIN_14-54,226,606,1064,422,0755
LIN_14-55,236,990,1100,284,0755
LIN_14-56,234,1236,1110,280,0755
LIN_14-57,152,1400,1198,342,0755
LIN_14-58,206,1750,1104,404,0755
LIN_14-59,224,2098,1120,408,0755
LIN_14-60,238,2472,1172,386,0755
LIN_14-61,994,2734,408,126,0755
LIN_14-62,232,2786,1144,304,0755
LIN_14-63,238,3068,1116,450,0755
LIN_14-64,222,3474,1170,366,0755
LIN_14-65,1421,382,1184,432,0755
LIN_14-66,1425,698,1206,598,0755
LIN_14-67,1461,1156,1154,294,0755
LIN_14-68,1481,1410,1194,198,0755
LIN_14-69,1485,1556,1044,198,0755
LIN_14-70,1499,1714,1076,186,0755
LIN_14-71,1491,1868,1154,280,0755
LIN_14-72,1507,2124,1136,318,0755
LIN_14-73,1515,2424,1082,280,0755
LIN_14-74,1529,2656,1140,278,0755
LIN_14-75,1509,2810,1138,266,0755
LIN_14-76,1545,3044,1140,174,0755
LIN_14-77,1551,3198,1098,254,0755
LIN_14-78,1553,3428,1178,192,0755
LIN_14-79,1559,3580,1152,276,0755
