Code,BX,BY,Width,Height,Page
LIN_C21,607,340,1000,288,0684
LIN_C22,607,604,1024,422,0684
LIN_C23,601,998,1032,256,0684
LIN_C24,601,1220,1020,84,0684
LIN_C25,573,1288,1028,106,0684
LIN_C26,565,1394,1078,386,0684
LIN_C27,573,1768,1068,278,0684
LIN_C28,575,2040,1024,174,0684
LIN_C29,561,2174,1040,160,0684
LIN_C30,581,2306,988,146,0684
LIN_C31,579,2426,1008,150,0684
LIN_C32,551,2644,1084,344,0684
LIN_C33,565,2942,1068,268,0684
LIN_S1,1702,370,1212,574,0684
LIN_S2,1720,892,1222,268,0684
LIN_S3,1744,1114,1152,230,0684
LIN_S4,1748,1342,1174,344,0684
LIN_S5,1750,1670,1188,616,0684
LIN_S6,1756,2240,1202,346,0684
LIN_S7,1732,2528,1210,244,0684
LIN_S8,1744,2744,1166,160,0684
LIN_S9,1752,2888,1196,330,0684
LIN_S10,1754,3172,1208,194,0684
LIN_S11,1732,3298,1238,206,0684
LIN_S12,1732,3458,1216,118,0684
LIN_S13,1730,3526,1208,182,0684
LIN_S14,1750,3670,1164,102,0684
LIN_S15,1724,3726,1228,122,0684
LIN_S16,1726,3797,1228,208,0684
