Code,BX,BY,Width,Height,Page
LIN_14-1,150,372,1172,630,0750
LIN_14-2,214,980,1096,188,0750
LIN_14-3,212,1134,1100,300,0750
LIN_14-4,228,1368,1102,272,0750
LIN_14-5,204,1524,1144,268,0750
LIN_14-6,206,1748,1100,296,0750
LIN_14-7,232,2004,1022,180,0750
LIN_14-8,216,2150,1178,194,0750
LIN_14-9,204,2276,1164,470,0750
LIN_14-10,262,2716,1104,248,0750
LIN_14-11,238,2928,1128,352,0750
LIN_14-12,228,3240,1140,340,0750
LIN_14-13,248,3554,1116,268,0750
LIN_14-13,1492,274,1140,188,0750
LIN_14-14,1434,428,1170,346,0750
LIN_14-15,1444,674,1176,354,0750
LIN_14-16,1450,1032,1190,382,0750
LIN_14-17,1458,1374,1158,394,0750
LIN_14-18,1486,1744,1166,448,0750
LIN_14-19,1524,2164,1094,174,0750
LIN_14-20,1498,2302,1168,258,0750
LIN_14-21,1558,2534,754,132,0750
LIN_14-22,1512,2632,1152,258,0750
LIN_14-23,1518,2778,1124,414,0750
LIN_14-24,1526,3164,1130,334,0750
LIN_14-25,1538,3468,1178,402,0750
