Code,BX,BY,Width,Height,Page
LIN_4-1,171,317,1174,738,0710
LIN_4-2,223,975,1118,554,0710
LIN_4-3,229,1535,1128,448,0710
LIN_4-4,249,1939,1092,270,0710
LIN_4-5,239,2165,1190,368,0710
LIN_4-7,241,2397,1134,448,0710
LIN_4-8,231,2783,1160,284,0710
LIN_4-9,233,2991,1144,382,0710
LIN_4-10,251,3333,1090,282,0710
LIN_4-11,238,3544,1148,224,0710
LIN_4-11,1486,370,1062,172,0710
LIN_4-13,1464,510,1156,276,0710
LIN_4-14,1464,740,1122,242,0710
LIN_4-15,1480,962,1140,294,0710
LIN_4-16,1470,1254,1172,280,0710
LIN_4-17,1468,1488,1168,366,0710
LIN_4-18,1524,1812,1090,182,0710
LIN_4-19,1526,1968,1128,190,0710
LIN_4-20,1538,2118,1134,282,0710
LIN_4-21,1552,2356,1078,178,0710
LIN_4-6,1498,2502,1192,204,0710
LIN_4-22,1526,2662,1134,212,0710
LIN_4-23,1508,2856,1184,460,0710
LIN_4-24,1566,3288,1118,190,0710
LIN_4-25,1566,3428,1090,124,0710
LIN_4-12,1548,3522,1106,240,0710
