Code,BX,BY,Width,Height,Page
LIN_13-1,176,396,1198,720,0745
LIN_13-2,232,1076,1142,312,0745
LIN_13-3,244,1346,1154,422,0745
LIN_13-4,254,1726,1132,362,0745
LIN_13-5,260,2054,1118,320,0745
LIN_13-6,268,2342,1120,346,0745
LIN_13-7,264,2658,1160,434,0745
LIN_13-8,276,3048,1136,358,0745
LIN_13-9,280,3352,1224,510,0745
LIN_13-9,1526,390,1170,126,0745
LIN_13-10,1466,458,1186,578,0745
LIN_13-11,1512,1024,1064,190,0745
LIN_13-12,1498,1186,1134,204,0745
LIN_13-13,1514,1346,1122,192,0745
LIN_13-14,1514,1504,1134,260,0745
LIN_13-15,1522,1740,1150,256,0745
LIN_13-16,1522,1962,1180,278,0745
LIN_13-17,1510,2198,1156,500,0745
LIN_13-18,1562,2660,1112,348,0745
LIN_13-19,1556,2974,1112,350,0745
LIN_13-20,1578,3280,1130,256,0745
LIN_13-21,1578,3512,1114,328,0745
