Code,BX,BY,Width,Height,Page
LIN_8-1,526,400,1200,582,0729
LIN_8-2,646,952,1030,286,0729
LIN_8-3,628,1152,1058,346,0729
LIN_8-4,580,1486,1142,606,0729
LIN_8-5,580,2038,1084,416,0729
LIN_8-6,584,2484,1092,364,0729
LIN_8-7,554,2862,1156,524,0729
LIN_8-8,526,3406,1102,368,0729
LIN_8-8,1906,360,992,244,0729
LIN_8-9,1852,612,1096,624,0729
LIN_8-10,1858,1192,1106,348,0729
LIN_8-11,1828,1496,1144,208,0729
LIN_8-12,1850,1710,1126,262,0729
LIN_8-13,1834,2034,1108,270,0729
LIN_8-14,1770,2278,1162,246,0729
LIN_8-15,1822,2502,1124,480,0729
LIN_8-16,1860,2954,1038,214,0729
LIN_8-17,1804,3110,1122,518,0729
LIN_8-18,1724,3600,1228,178,0729
