Code,BX,BY,Width,Height,Page
LIN_24-30,238,340,1116,154,0775
LIN_24-31,236,444,1118,206,0775
LIN_24-32,232,578,1118,522,0775
LIN_24-33,234,1042,1122,330,0775
LIN_24-34,226,1312,1126,132,0775
LIN_24-35,230,1380,1124,154,0775
LIN_24-36,228,1508,1128,558,0775
LIN_24-37,226,2056,1130,372,0775
LIN_24-38,236,2336,1120,348,0775
LIN_24-39,236,2632,1144,216,0775
LIN_24-40,216,2800,1156,362,0775
LIN_24-41,232,3100,1182,292,0775
LIN_24-42,232,3276,1182,188,0775
LIN_24-43,230,3418,1154,264,0775
LIN_24-44,252,3640,1042,196,0775
LIN_24-45,1476,342,1106,324,0775
LIN_24-46,1474,618,1194,280,0775
LIN_24-47,1482,860,1134,212,0775
LIN_24-48,1484,1026,1184,276,0775
LIN_24-49,1490,1182,906,182,0775
LIN_24-50,1492,1338,1186,206,0775
LIN_24-51,1508,1500,1114,186,0775
LIN_24-52,1502,1638,1120,132,0775
LIN_24-53,1506,1724,1134,192,0775
LIN_24-54,1490,1922,1204,474,0775
LIN_24-55,1500,2254,1116,196,0775
LIN_24-56,1516,2422,1140,206,0775
LIN_24-57,1518,2598,1200,260,0775
LIN_24-58,1514,2808,1174,206,0775
LIN_24-59,1506,2966,1280,216,0775
LIN_24-60,1466,3832,1404,158,0775
LIN_24-61,1504,3176,1298,582,0775
LIN_24-62,1524,3704,1120,152,0775
