Code,BX,BY,Width,Height,Page
LIN_24-90,260,290,1038,228,0780
LIN_24-91,220,456,1076,214,0780
LIN_24-92,230,608,1108,296,0780
LIN_24-93,224,842,1126,210,0780
LIN_24-94,220,998,1012,142,0780
LIN_24-95,222,1080,1088,230,0780
LIN_24-96,216,1248,1148,298,0780
LIN_24-97,210,1396,1150,382,0780
LIN_24-98,224,1710,1142,236,0780
LIN_24-99,222,1866,1126,286,0780
LIN_24-100,210,2106,1208,280,0780
LIN_24-101,228,2338,1108,206,0780
LIN_24-102,232,2494,1122,286,0780
LIN_24-103,218,2656,1140,442,0780
LIN_24-104,226,2956,1124,290,0780
LIN_24-105,228,3104,1138,308,0780
LIN_25-1,1386,428,1332,502,0780
LIN_25-2,1462,862,1140,270,0780
LIN_25-3,1448,1108,1196,442,0780
LIN_25-4,1522,1526,924,116,0780
LIN_25-5,1478,1604,1126,328,0780
LIN_25-6,1496,1900,1212,356,0780
LIN_25-7,1508,2218,1216,352,0780
LIN_25-8,1500,2516,1112,356,0780
LIN_25-9,1498,2832,1170,350,0780
LIN_25-10,1508,3136,1150,204,0780
LIN_25-11,1510,3286,1158,368,0780
LIN_25-12,1508,3614,1182,272,0780
