Code,BX,BY,Width,Height,Page
LIN_18-30,664,380,1062,276,0769
LIN_18-31,610,612,1146,404,0769
LIN_18-32,630,982,1124,372,0769
LIN_19-1,516,1776,1268,488,0769
LIN_20-1,502,2330,1214,462,0769
LIN_20-2,568,2674,840,110,0769
LIN_20-3,568,2774,1086,98,0769
LIN_20-4,560,2844,1130,256,0769
LIN_21-1,480,3024,1222,456,0769
LIN_21-2,532,3442,1102,144,0769
LIN_22-1,1806,360,1168,492,0769
LIN_22-2,2232,724,724,144,0769
LIN_22-3,1870,808,1078,358,0769
LIN_22-4,1862,1120,1070,224,0769
LIN_22-5,1816,1274,1164,444,0769
LIN_22-6,1752,3742,1234,190,0769
LIN_22-7,1844,1672,1134,428,0769
LIN_22-8,1852,1992,1100,316,0769
LIN_22-9,1866,2280,942,142,0769
LIN_22-10,1834,2408,1150,380,0769
LIN_22-11,1840,2686,1086,262,0769
LIN_22-12,1842,2912,1120,186,0769
LIN_22-13,1826,3050,1140,200,0769
LIN_22-14,1832,3200,1154,220,0769
LIN_22-15,1832,3354,1132,144,0769
LIN_22-16,1814,3494,1186,294,0769
