Code,BX,BY,Width,Height,Page
LIN_1-16,218,418,1124,180,0690
LIN_1-17,250,530,1068,270,0690
LIN_1-18,258,750,1060,278,0690
LIN_1-19,252,892,842,224,0690
LIN_1-20,260,1058,1082,144,0690
LIN_1-21,260,1148,1088,220,0690
LIN_1-22,268,1242,920,192,0690
LIN_1-23,254,1382,1096,294,0690
LIN_1-24,262,1536,592,132,0690
LIN_1-25,254,1694,1122,282,0690
LIN_1-26,218,1964,1108,522,0690
LIN_1-27,242,2454,1144,214,0690
LIN_1-28,214,2672,1118,450,0690
LIN_1-29,220,3064,1108,358,0690
LIN_1-30,254,3380,1072,288,0690
LIN_1-31,240,3614,1172,386,0690
LIN_1-32,1484,466,1112,340,0690
LIN_1-33,1496,788,1088,228,0690
LIN_1-34,1488,986,1150,458,0690
LIN_1-35,1496,2236,1162,364,0690
LIN_1-36,1516,2584,1128,274,0690
LIN_1-37,1518,2778,1154,150,0690
LIN_1-38,1500,2876,1168,448,0690
LIN_1-39,1536,3280,1405,658,0690
