Code,BX,BY,Width,Height,Page
LIN_12-49,170,298,1138,718,0740
LIN_12-50,214,952,1106,394,0740
LIN_12-51,186,1282,1186,350,0740
LIN_12-52,172,1516,1196,432,0740
LIN_12-53,134,1830,1194,424,0740
LIN_12-54,236,2230,1094,194,0740
LIN_12-55,236,2372,1112,352,0740
LIN_12-56,198,2626,1160,432,0740
LIN_12-57,222,2930,1138,450,0740
LIN_12-58,240,3304,1148,452,0740
LIN_12-59,1430,320,1184,462,0740
LIN_12-60,1406,732,1284,588,0740
LIN_12-62,2529,1282,474,392,0740
LIN_12-61,1385,1214,1310,428,0740
LIN_12-63,1479,1524,1180,258,0740
LIN_12-64,1461,1662,1204,588,0740
LIN_12-65,1495,2142,1150,502,0740
LIN_12-66,1517,2530,1156,282,0740
LIN_12-67,1527,2778,1122,408,0740
LIN_12-69,2587,3094,452,286,0740
LIN_12-68,1549,3144,1158,272,0740
LIN_12-70,1509,3292,1196,418,0740
LIN_12-71,1561,3624,1108,208,0740
