Code,BX,BY,Width,Height,Page
LIN_13-22,518,374,1166,382,0749
LIN_13-23 ,548,714,1108,336,0749
LIN_13-24,506,928,1146,530,0749
LIN_13-25,562,1356,1094,184,0749
LIN_13-26,512,1526,1150,292,0749
LIN_13-27,538,1808,1118,270,0749
LIN_13-28,514,2044,1140,496,0749
LIN_13-29,530,2504,1082,270,0749
LIN_13-30,500,2742,1128,324,0749
LIN_13-31,450,3040,1244,366,0749
LIN_13-33,480,3364,1310,344,0749
LIN_13-32,436,3654,1204,260,0749
LIN_13-34,1774,372,1154,496,0749
LIN_13-35,1788,838,1108,376,0749
LIN_13-36,1810,1172,1090,196,0749
LIN_13-37,1794,1326,1130,336,0749
LIN_13-38,1786,1644,1090,350,0749
LIN_13-39,1790,1942,1150,346,0749
LIN_13-40,2212,2184,722,112,0749
LIN_13-41,1796,2260,1114,348,0749
LIN_13-42,1788,2574,1134,358,0749
LIN_13-43,1814,2886,1068,188,0749
LIN_13-44,1770,3022,1146,424,0749
LIN_13-45,1784,3428,1136,320,0749
