Code,BX,BY,Width,Height,Page
LIN_1-1,543,438,1212,642,0689
LIN_1-2,585,1047,1209,288,0689
LIN_1-3,642,1287,1110,417,0689
LIN_1-4,585,1728,1122,537,0689
LIN_1-5,564,2307,1158,543,0689
LIN_1-6,552,2829,1116,579,0689
LIN_1-7,531,3387,1173,555,0689
LIN_1-8,1812,399,1158,510,0689
LIN_1-9,1824,930,1167,834,0689
LIN_1-10,1818,1728,1149,363,0689
LIN_1-11,1818,2058,1158,384,0689
LIN_1-12,1848,2418,1149,369,0689
LIN_1-13,1836,2739,1128,345,0689
LIN_1-14,1806,3054,1125,333,0689
LIN_1-15,1818,3369,1128,525,0689
